Ian Firth;Keynote Address
Jonathan McGormley;Session G.13: Commercial Session
Jonathan Rose;Keynote Address
Joseph Tortorella;Session Welcome
Magnus Arason;A Curved Footbridge with Hidden Extras
M NOVARIN;Design and Construction Methods for UHPFRC Deck Bridges
R.M. Woodward;Polyester Rope Footbridge - Five Years in Service
C Xu;The Fatigue Performance of High Performance Concrete Composite Girder
I Johansen;Proven Technology for a New Structure: Submerged Floating Tube Bridge
Oskar-H. Pekoll;Upside Down: Historic Tram Goes Underground – Infrastructure Challenge on the Way to a Modern City
Nan Hua;Design Fire Scenarios for Railway Tunnel Fires
S. Marjanishvili;Overview of Design of Structures to Extreme Hazards
Charles Besjak;35 Hudson Yards: Adapting to Urban Infrastructure with High Strength Concrete
Juan Pablo Osman Letelier;Application of Prestressed CFRP for the Development of Thin-Walled Concrete Structural Elements
J. E. CARRION;Precast Core Wall System for High-Rise Buildings
Mary Beth Hueste;Utilizing shape memory alloys bars to reduce residual drifts in a tall concrete building
Guy Decorges;Replacement of the Myrtle Ave Viaduct
Henri Sinson;Longest Simple Span Steel Plate Girder Bridges in Florida – I-75 over SR50 Twin Bridges
Gilberto Dreas;The Efficient Use of Precast Concrete Technology in the Construction of Elevated Guideways
K Ekholm;Construction Methods for Building the Hisingen Bridge
HH Snijder;Rainwater Ponding on Roof Structures Including the Interaction between Main Girders and Purlins
Ary Pramudito;Anticipate Construction of Single Pylon Cable-Stayed Kretek II Bridge in Near-Fault Zone
Francisco Hernandez;Proposal Methodology to Assess Debris Current Design in Traditional Chilean Bridges
S.J. Kim;Risk Assessment of Vehicle on a Bridge for Strong Wind  based on Wind-tunnel Experiment
Tomaso Trombetti;Optimization Studies on Diagrid Columns Realized with Wire-and-Arc Additive Manufacturing Process
Paul Gauvreau;Robotics in Construction and the New Era of Efficient Concrete Bridges
Debra Laefer;Intermeshing: A New Concept for Rapid Steel Erection
B.J.  van der Gaag;Structural Bridge Design for Additive Manufacturing
Marcos Sanchez;Why the 200-year Bridge is a Myth - A New Perspective Towards a Evolving Structure
S Condell;The 200 Year Bridge - The New Goethals Bridge as a Roadmap
R.P.H. Vergoossen;Towards 2222, Science Fiction or an Educated Guess for the Design of Bridges
B Lejano;C-section Cold-Formed Steel (CFS) as Structural Members in Housing Construction in the Philippines
J. A. Schultz;Failure Prediction Model for 3-Ply CLT Panels
A. Kozlowski;Low-Cost Affordable Single Family Housing in Poland. Light Steel Frame as an Alternative Construction
I. Pendleton;NHNY Via Verde – A New Design Standard For Affordable Housing
MARCO DI GIOVANNI;Great Open Spaces for Emergency Covered with Hemp Cables Nets Roofs
A.F. Ferrante;Deep Renovation Up to Zero Energy through Add-Ons: The ABRACADABRA Project
Sung-Gul Hong;Application of Ultra-High Performance Concrete for Thermal Resistance Materials
Franco Mola;A New Design Idea for Special Housing Complexes
Tohru Makita;Design and Construction of the Komono Second Viaduct in Mie, Japan
J Mattheis;Gerald Desmond Bridge Replacement Project Industry Innovations
Hao GAO;Experimental Research on an Assembled Steel Damping Device with the Large Temperature Displacement
Xianzhi Wang;Experimental Studies on Seismic Performance of Rigid-frame Extradosed Cable-stayed Bridges
M. Schlaich;Urban Infrastructure: The Signature Cable-Stayed Bridge in Dehli
Krzysztof Wąchalski;The Hybrid GFRP „Velo-Pont” System for Bridges and Helipad
J Robinson;Experimental Study of High Temperature Performance of Steel Suspension Bridge Wires
Ali Ashrafi;Performance-Based Fire Protection Design of Transfer Structures in Tall Buildings
R. Ranade;Advanced Concretes for High Temperature Applications
N Galluzzi;Lessons from the Cardington Fire Tests: Applications in the Performance-Based Fire Design
Thomas Gernay;Demonstrating Performance-Based Fire Design of Composite Buildings
Fei Ding;Aerodynamic Shape Tailoring of Buildings: A Fusion of CFD, Stochastics, Machine Learning and Beyond
Yangwen Zhang;Assessment of Wind-Induced Vibration Control and Energy Harvesting Using Facades
Shayne Love;Full-Scale Performance Evaluation of Structure-Dynamic Vibration Absorber Systems
I Ashcroft;Use of Integrated Viscous Dampers to Control Wind Induced Vibrations in Tall Buildings
A.F. Devin;Interrelation of Architectural Form and Wind Climate on the Wind Performance of Supertall Towers
Deniz Okumusoglu;Adaptive TMD System for Reduced Space Demand in Tall Buildings
Wonsuk Park;Finite Element Model Updating for a Suspension Bridge using Deep Neural Networks
V. Kumar;Experimental Approaches to Estimate Physical Properties of Concrete using Ground Penetrating Radar
D. F. Karypidis;Damage Detection in RC Structures using Optic Fiber Strain Measurements: A Machine Learning Approach
Omid Khandel;An Integrated Framework for Seismic Risk Assessment of Reinforced Concrete Buildings Based on SHM
Jan Biliszczuk;Solutions to the Problem of Safe Pedestrian Traffic Flow in Cities
Ron Chapman;Weather Forecasting Technology Applied to Structures Improves Resiliency
A DeBoer;Improvements of a Nonlinear Analysis Guideline for the Re-examination of Existing Urban Concrete Structures
Haoxin GUO;Evaluation on Anti-Collision Performance of Multi-Level Bumper Type Anti-Collision Device
